Var1,Var2,Var3,Var4
0,0,0,0.659998719385972
0,0.05,0,0.666898565743868
0,0.1,0,0.674393392349647
0,0.15,0,0.682583366856751
0,0.2,0,0.691569048738178
0,0.25,0,0.70145008384434
0,0.3,0,0.712323870758714
0,0.35,0,0.724284215862174
0,0.4,0,0.737419994473801
0,0.45,0,0.751813835642385
0,0.5,0,0.76754084811724
0,0.55,0,0.784667404717642
0,0.6,0,0.803250001759655
0,0.65,0,0.823334209384701
0,0.7,0,0.844953727584614
0,0.75,0,0.868129561440829
0,0.8,0,0.892869327615945
0,0.85,0,0.919166702466829
0,0.9,0,0.947001020329527
0,0.95,0,0.976337028566566
0,1,0,1.00712480391581
0.05,0,0,0.662893390987752
0.05,0.05,0,0.669899237936694
0.05,0.1,0,0.677482772431252
0.05,0.15,0,0.685744150807257
0.05,0.2,0,0.694784047307753
0.05,0.25,0,0.704702345966855
0.05,0.3,0,0.715596803102945
0.05,0.35,0,0.727561697387348
0.05,0.4,0,0.740686484917934
0.05,0.45,0,0.755054476952286
0.05,0.5,0,0.770741557917252
0.05,0.55,0,0.787814961012875
0.05,0.6,0,0.806332118178763
0.05,0.65,0,0.826339600382416
0.05,0.7,0,0.847872163145117
0.05,0.75,0,0.870951910948794
0.05,0.8,0,0.895587592688447
0.05,0.85,0,0.921774038667611
0.05,0.9,0,0.949491747813558
0.05,0.95,0,0.978706631825948
0.05,1,0,1.00936992091657
0.1,0,0,0.665939206967967
0.1,0.05,0,0.673061118153488
0.1,0.1,0,0.680744851828668
0.1,0.15,0,0.689090419426596
0.1,0.2,0,0.698198462141978
0.1,0.25,0,0.708168941556171
0.1,0.3,0,0.719099799837029
0.1,0.35,0,0.731085606509159
0.1,0.4,0,0.744216209275597
0.1,0.45,0,0.758575406597107
0.1,0.5,0,0.774239659714984
0.1,0.55,0,0.791276861512547
0.1,0.6,0,0.809745179064255
0.1,0.65,0,0.829691985926492
0.1,0.7,0,0.851152899181774
0.1,0.75,0,0.874150934978691
0.1,0.8,0,0.89869579484007
0.1,0.85,0,0.924783293339904
0.1,0.9,0,0.952394935930745
0.1,0.95,0,0.981497653742584
0.1,1,0,1.01204370010952
0.15,0,0,0.669106060770635
0.15,0.05,0,0.676354039109744
0.15,0.1,0,0.684149543452141
0.15,0.15,0,0.692592307550957
0.15,0.2,0,0.701782791647152
0.15,0.25,0,0.711820873247537
0.15,0.3,0,0.722804506600387
0.15,0.35,0,0.73482836788158
0.15,0.4,0,0.747982503593978
0.15,0.45,0,0.762350999926629
0.15,0.5,0,0.778010690800063
0.15,0.55,0,0.795029922046116
0.15,0.6,0,0.813467388633616
0.15,0.65,0,0.833371061056415
0.15,0.7,0,0.854777215970064
0.15,0.75,0,0.877709584897976
0.15,0.8,0,0.902178633353931
0.15,0.85,0,0.928180981071496
0.15,0.9,0,0.955698972201323
0.15,0.95,0,0.984700402382931
0.15,1,0,1.01513840753139
0.2,0,0,0.672362321209808
0.2,0.05,0,0.679746206701613
0.2,0.1,0,0.687665020657637
0.2,0.15,0,0.696218087728501
0.2,0.2,0,0.7055055398444
